,labnumber,session,c,pl1,incpl1,pl2,incpl2,pl3,incpl3,hl1,inchl1,hl2,inchl2,budgetnum,obscount,m,p1,p2,earn1,earn2,trustpay,whatthink1,circumstanc,age,heightft,heightin,weight,gender,num1,num2,num3,num4,num5,num6,work,hourswork,workwage,vote,english,year,major,gpa,study,allnighter,takesat,satmath,satverbal,satwriting,takeact,actmath,actenglish,actreading,actscience,medical,sexactive,partners,monagamous,smoke,exercise,maintainweight,iq1,iq2,iq3,creditcard,cardbalance,howpay,cardrate,bankaccount,accountbalance,balancerate,debitcard,spendweek,amountx20,amount20y,riskscale,patientscale,order,order1,order2,order3,session1,session2,session3,session4,session5,session6,discount1,discount2,discount3,avrgdiscount,low1,lowdiscount1,low2,lowdiscount2,low3,lowdiscount3,presentbias12,presentbias13,beta13,presentbias,alpha1high,alpha1low,alpha1mid,alpha2high,alpha2low,alpha2mid,k,k5,k10,k14,t,t0,t1,t5,choiceset,weekrate,sdc,cons1,cons2,patient,impatient,interior,totinterior,r2,r1,mnumer,pratio,logpratio,cratio,logcratio
10,1.0,1,0,19,0,18.0,0,18,0,6.0,0,15.0,0,27.0,27.0,100,0.16,0.2,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,98.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0022795696,20.72899,0.0,20.0,1.0,0.0,0.0,18.0,1.0,1.25,20.0,1.25,0.22314355,0.0,
11,1.0,1,0,19,0,18.0,0,18,0,6.0,0,15.0,0,18.0,18.0,100,0.16,0.2,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,35.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.006395898,20.72899,0.0,20.0,1.0,0.0,0.0,18.0,1.0,1.25,20.0,1.25,0.22314355,0.0,
12,1.0,1,0,19,0,18.0,0,18,0,6.0,0,15.0,0,34.0,34.0,100,0.14,0.2,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,35.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,7.0,0.010242815,20.72899,0.0,20.0,1.0,0.0,0.0,18.0,1.0,1.4285715,20.0,1.4285715,0.35667497,0.0,
13,1.0,1,0,19,0,18.0,0,18,0,6.0,0,15.0,0,13.0,13.0,100,0.13,0.2,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,98.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.00440542,20.72899,0.0,20.0,1.0,0.0,0.0,18.0,1.0,1.5384616,20.0,1.5384616,0.43078294,0.0,
14,1.0,1,0,19,0,18.0,0,18,0,6.0,0,15.0,0,24.0,24.0,100,0.16,0.2,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,70.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0031928518,20.72899,0.0,20.0,1.0,0.0,0.0,18.0,1.0,1.25,20.0,1.25,0.22314355,0.0,
15,1.0,1,20,19,0,18.0,0,18,0,6.0,0,15.0,0,10.0,10.0,100,0.2,0.25,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,70.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.003192851,20.72899,4.0,20.0,0.0,0.0,1.0,18.0,1.0,1.25,25.0,1.25,0.22314355,0.2,-1.609438
16,1.0,1,0,19,0,18.0,0,18,0,6.0,0,15.0,0,25.0,25.0,100,0.14,0.2,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,70.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0051083597,20.72899,0.0,20.0,1.0,0.0,0.0,18.0,1.0,1.4285715,20.0,1.4285715,0.35667497,0.0,
17,1.0,1,10,19,0,18.0,0,18,0,6.0,0,15.0,0,32.0,32.0,100,0.18,0.2,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,35.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,7.0,0.0030148353,20.72899,1.8000001,18.0,0.0,0.0,1.0,18.0,1.0,1.111111,20.0,1.111111,0.105360456,0.1,-2.3025851
18,1.0,1,0,19,0,18.0,0,18,0,6.0,0,15.0,0,9.0,9.0,100,0.14,0.2,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,70.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0051083597,20.72899,0.0,20.0,1.0,0.0,0.0,18.0,1.0,1.4285715,20.0,1.4285715,0.35667497,0.0,
19,1.0,1,20,19,0,18.0,0,18,0,6.0,0,15.0,0,40.0,40.0,100,0.2,0.25,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,70.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,8.0,0.003192851,20.72899,4.0,20.0,0.0,0.0,1.0,18.0,1.0,1.25,25.0,1.25,0.22314355,0.2,-1.609438
20,1.0,1,0,19,0,18.0,0,18,0,6.0,0,15.0,0,42.0,42.0,100,0.16,0.2,9.0,17.0,Yes,For the most part I was just trying to get the most money out of each of the options Where the differences in payments were about the same I generally gave a little to the sooner time with most af the later time When there was a significant dif,No there is no extreme need for money at the time consequently I just chose the greater amount no matter what the time was,18.0,5.0,2.0,110.0,Female,15.0,150.0,100.0,9000.0,40000.0,242.0,No,,,Yes,Yes,Freshman,Political Science - International Relations,3.21,I keep up on some classes but cram at exams for others,A few times,Yes,690.0,680.0,650.0,No,,,,,Yes,No,,Yes,No,No,No I struggle with my weight.,10.0,100.0,47.0,No but I want one.,,,,Yes,124.0,0.02,Yes,20.0,19.0,25.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9985356,0.99892545,0.9969942,0.9981517,18.01,0.99701005,16.01,0.997732,16.01,0.9936625,0.0,-1.0,1.0555575,0.0,0.59,0.32,0.45499998,0.66,0.48,0.57,98.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,9.0,0.0022795696,20.72899,0.0,20.0,1.0,0.0,0.0,18.0,1.0,1.25,20.0,1.25,0.22314355,0.0,
